,English_Name,Chinese_Name,nanxi_translation,rukun_translation,gpt4_8
0,Shanghai Cuisine,上海小馆,Shanghai Bistro,Shanghai Pavilion,Shanghai Small Restaurant
1,Shanghai Fresh,十八鲜,Eighteen Fresh,Eighteen Fresh,Eighteen Fresh
2,Kao Barbecue,久经烤焰,Roasted for a Long Time,The Old Grill,Long Time Roasted Flame
3,Taiwan Cafe ,海之味,Taste of the Sea,Sea Flavor,Sea Flavor
4,Hunan Cuisine ,异国他湘,Alien Country Other Hunan,A Foreign Country in Hunan,Exotic Other Hunan
5,House of Chang,藤王馔,Vine King Delicacy,Tengwang Cuisine,Wisteria King Feast
6,Bun's House,四川冒菜,Sichuan Instant Boiled Spicy Hot Pot,Sichuan Maocai,Sichuan Blistering Vegetable
7,KungFu MalaTang,汤功夫麻辣烫·麻辣拌,Soup Kunfu Spicy Hot Pot,Kungfu Soup Spicy Hot Pot Spicy Sauce,Soup Kung Fu Spicy Hot Pot · Spicy Mix
8,Spicy World,大舌头,Big Tongue,Big Tongue,Big Tongue
9,Flame Hot Pot & Sushi,一品川,A Taste of Sichuan,The Best Sichuan,First Grade Sichuan
10,Boston Soup Dumplings,烹小鲜,Cook Little Fresh,Cooking Small Delicacies,Boil Small Fresh
11,Six Po Hot Pot,六婆串串香,Six Auntie Skewers Delicious,Six Nanies' Skewer,Six Granny Skewer Skewer Fragrance
12,Kaojiu Restaurant,烤究,Study of Roasting,Good Grilling,Roast Research
13,Tasty Pot,味鼎,Taste Tripod,Flavor Royal Pot,Taste Tripod
14,Golden Garden,金山饭店,Golden Mountain Restaurant,Golden Mount Restaurant,Gold Mountain Restaurant
15,Taste House,百味轩,Hundred Taste Pavillion,Hundred Taste Restaurant,Hundred Flavors Pavilion
16,Sumiao Hunan Kitchen,素描湘,Sketch Hunnan,Sketch Xiang,Sketch Hunan
17,District Kitchen,饺子馆,Dumpling Pavillion,Dumpling Restaurant,Dumpling House
18,BOS' SiChuan Taste,一碟川菜馆,One Plate Sichuan Cuisine Restaurant,One Dish Sichuan Restaurant,One Plate Sichuan Cuisine House
19,Noah's Kitchen,亚轩十八,Asian Pavillion Eighteen,Asian Eighteenth Restaurant,Asia Elegant Eighteen
20,Lu Fu Zi,卤夫子,Brined Scholar,Stewed Master's Restaurant,Braised Master
21,Grill Fish,烤鱼之家,Home of Grilled Fish,Roast Fish Home,Roast Fish Home
22,Brother Crab Pot,哥俩肉蟹煲,Two Brothers Meaty Crab Pot,Two Brother Meat Crab Pot,Brothers Meat Crab Pot
23,Hong Kong Style Hot pot,香满园打边炉港式火锅,Fragrance Full Garden Hong Kong Style Hotpot,Hong Kong Style Hot Pot With Fragrant Garden and Edge Furnace,Fragrant Full Garden Hit Side Stove Hong Kong Style Hot Pot
24,China Gourmet Restaurant,味中味,Taste in Taste,Taste In Taste,Taste in Taste
25,Dolphin Bay,海豚湾,Dolphin Bay,Dolphin Bay,Dolphin Bay
26,Mala Restaurant,一麻一辣,One Numb One Spicy,One Sesame Aand One Spicy,One Hemp One Spicy
27,Supreme BBQ,尚品烤吧,Fashion Taste BBQ bar,Top Taste Barbecue,Still Product Roast Bar
